recordtype,id,type,dc.identifier,dc.language,dc.source,isVersionOf,hasVersion,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
CATALOG,omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-observatieprocedure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATASET,omg_dataset:codelijst-observatieprocedure,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-observatieprocedure,nl,NA,NA,NA,Dataset codelijst observatieprocedure,"Deze dataset bevat een lijst van observatieproceduretypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-observatieprocedure,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst observatieprocedure,omg_conceptscheme:observatieprocedure,Codelijst observatieprocedure,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-observatieprocedure.html,frequency:IRREG,omg_periodoftime:dataset_omg,NA,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DATASET,omg_dataset:codelijst-observatieprocedure,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-observatieprocedure,nl,NA,omg_dataset:codelijst-observatieprocedure,NA,Dataset codelijst observatieprocedure,"Deze dataset bevat een lijst van observatieproceduretypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-observatieprocedure,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst observatieprocedure,omg_conceptscheme:observatieprocedure,Codelijst observatieprocedure,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-observatieprocedure.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-observatieprocedure.observatieprocedure.csv|omg_distribution:codelijst-observatieprocedure.observatieprocedure.jsonld|omg_distribution:codelijst-observatieprocedure.observatieprocedure.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-observatieprocedure.observatieprocedure.csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure.observatieprocedure.csv,NA,NA,NA,NA,NA,"Codelijst observatieprocedure, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-observatieprocedure.observatieprocedure.csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst observatieprocedure in text/csv formaat.,NA,"Codelijst observatieprocedure, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure.observatieprocedure.csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-observatieprocedure.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure.observatieprocedure.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-observatieprocedure.observatieprocedure.jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure.observatieprocedure.jsonld,NA,NA,NA,NA,NA,"Codelijst observatieprocedure, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-observatieprocedure.observatieprocedure.jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst observatieprocedure in jsonld rdf-formaat.,NA,"Codelijst observatieprocedure, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure.observatieprocedure.jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-observatieprocedure.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure.observatieprocedure.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-observatieprocedure.observatieprocedure.ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure.observatieprocedure.ttl,NA,NA,NA,NA,NA,"Codelijst observatieprocedure, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-observatieprocedure.observatieprocedure.ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst observatieprocedure in Turtle rdf-formaat.,NA,"Codelijst observatieprocedure, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure.observatieprocedure.ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-observatieprocedure.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure.observatieprocedure.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
VERSIE-PACKAGE,omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure,spdx:Package|dcat:Distribution,be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure,NA,NA,NA,NA,NA,"Codelijst observatieprocedure, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst observatieprocedure in jar-formaat.,NA,Package codelijst-observatieprocedure,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
