"id","type","dc.identifier","dc.language","dc.source","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"omg_catalog:codelijst","dcat:Catalog","","","","","","","","","","","","","","","","","","","omg_dataset:codelijst-observatieprocedure","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-observatieprocedure","dcat:Dataset","","","","omg_dataset:codelijst-observatieprocedure.1.1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"omg_dataset:codelijst-observatieprocedure.1.1.0","dcat:Dataset","be.vlaanderen.omgeving.data.id.dataset.codelijst-observatieprocedure.1.1.0","nl","","","Codelijst observatieprocedure Dataset","Deze dataset bevat een lijst van observatieprocedures, analysemethoden, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.","omg_dataset:codelijst-observatieprocedure'1.1.0","2023-02-17","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Thesaurus chemische stoffen","omg_conceptscheme:observatieprocedure","Dataset Codelijst observatieprocedure","1.1.0","omg_vcard:helpdesk","","access_right:PUBLIC","https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html","","https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-observatieprocedure.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-observatieprocedure_csv.1.1.0|omg_distribution:codelijst-observatieprocedure_jsonld.1.1.0|omg_distribution:codelijst-observatieprocedure_ttl.1.1.0|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure.1.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087","","","","","","","","",""
"omg_distribution:codelijst-observatieprocedure_csv.1.1.0","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure_csv.1.1.0","","","","","Codelijst observatieprocedure, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-observatieprocedure_csv.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst observatieprocedure in text/csv formaat.","","Codelijst observatieprocedure, in text/csv formaat.","1.1.0","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure_csv.html","","","","","file_type:CSV","https://github.com/milieuinfo/codelijst-observatieprocedure.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-observatieprocedure/codelijst-observatieprocedure-1.1.0/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/observatieprocedure/observatieprocedure.csv","https://www.iana.org/assignments/media-types/text/csv","","","",""
"omg_distribution:codelijst-observatieprocedure_jsonld.1.1.0","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure_jsonld.1.1.0","","","","","Codelijst observatieprocedure, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-observatieprocedure_jsonld.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst observatieprocedure in jsonld rdf-formaat.","","Codelijst observatieprocedure, in jsonld rdf-formaat.","1.1.0","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure_jsonld.html","","","","","file_type:JSON_LD","https://github.com/milieuinfo/codelijst-observatieprocedure.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-observatieprocedure/codelijst-observatieprocedure-1.1.0/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/observatieprocedure/observatieprocedure.jsonld","https://www.iana.org/assignments/media-types/application/ld+json","","","",""
"omg_distribution:codelijst-observatieprocedure_ttl.1.1.0","dcat:Distribution","be.vlaanderen.omgeving.data.id.distribution.codelijst-observatieprocedure_ttl.1.1.0","","","","","Codelijst observatieprocedure, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-observatieprocedure_ttl.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst observatieprocedure in Turtle rdf-formaat.","","Codelijst observatieprocedure, in Turtle rdf-formaat.","1.1.0","","","access_right:PUBLIC","","","https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-observatieprocedure_ttl.html","","","","","file_type:RDF_TURTLE","https://github.com/milieuinfo/codelijst-observatieprocedure.git","http://www.iana.org/assignments/media-types/application/gzip","https://raw.githubusercontent.com/milieuinfo/codelijst-observatieprocedure/codelijst-observatieprocedure-1.1.0/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/observatieprocedure/observatieprocedure.ttl","https://www.iana.org/assignments/media-types/text/turtle","","","",""
"omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure.1.1.0","spdx:Package|dcat:Distribution","be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure.1.1.0","","","","","Codelijst observatieprocedure, Jar maven package.","omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure.1.1.0","2023-02-17","","","","ovo:OVO003751","","Codelijst observatieprocedure in jar-formaat.","","Package codelijst-observatieprocedure","1.1.0","","","access_right:PUBLIC","","","","","","","","file_type:JAR","","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-observatieprocedure/1.1.0/codelijst-observatieprocedure-1.1.0.jar","","https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/omgeving/data/id/graph/codelijst-observatieprocedure/1.1.0/codelijst-observatieprocedure-1.1.0.jar","codelijst-observatieprocedure-1.1.0.jar","be.vlaanderen.omgeving.data.id.graph.codelijst-observatieprocedure","1.1.0"
